"","Ortho","Phono","Length","LogFreq","meanRT","accuracy"
"170","accelerators","@ksEl#ret#z",12,7.29,745.714285714286,0.96551724137931
"171","accelerometer","@ksEl#rAm@t#",13,4.25,1343.9,0.357142857142857
"172","accelerometers","@ksEl#rAm@t#z",14,4.14,1096,0.433333333333333
"173","accent","aksEnt",6,8.56,704.142857142857,1
"174","accented","aksEnt@d",8,7.07,860.090909090909,0.785714285714286
"175","accenting","aksEntIN",9,3.99,915.521739130435,0.793103448275862
"176","accents","aksEnts",7,7.49,668.928571428571,0.96551724137931
"177","accentual","aksEnCu@l",9,0,915.458333333333,0.827586206896552
"178","accentuate","@ksEnCuet",10,5.08,958.214285714286,0.933333333333333
"179","accentuated","@ksEnCuet@d",11,5.26,1018.69230769231,0.928571428571429
"180","accentuates","@ksEnCuets",11,4.04,842.076923076923,0.866666666666667
"181","accept","@ksEpt",6,10.81,634,0.96551724137931
"182","acceptable","@ksEpt@bL",10,9.7,731.709677419355,1
"183","acceptance","@ksEpt@ns",10,9.08,714.655172413793,1
"184","accepted","@ksEpt@d",8,10.43,630,0.964285714285714
"185","accepting","@ksEptIN",9,8.94,697.034482758621,0.966666666666667
"186","accepts","@ksEpts",7,8.43,724.7,1
"187","access","aksEs",6,12.06,674.333333333333,1
"188","accesses","aksEs@z",8,7.77,822.826086956522,0.851851851851852
"189","accessible","@ksEs@bL",10,9.28,691.551724137931,1
"190","accessions","@ksESnz",10,3.87,938.458333333333,0.8
"191","accessories","@ksEs#riz",11,8.65,768.827586206897,1
"192","accessors","aksEs#z",9,5.15,931.833333333333,0.8
"193","accessory","@ksEs#ri",9,7.2,805,0.96551724137931
"194","accident","aks@dnt",8,9.32,618.793103448276,0.966666666666667
"195","accidental","aks@dEntL",10,7.76,650.25,0.96551724137931
"196","accidentally","aks@dEntLi",12,8.4,663.068965517241,1
"197","accidents","aks@dnts",9,8.33,640.8,0.925925925925926
"198","acclaim","@klem",7,6.79,772.8,1
"199","acclaimed","@klemd",9,6.96,679.423076923077,0.928571428571429
"200","acclaims","@klemz",8,1.95,900.903225806452,1
"201","acclamation","akl@meSn",11,3.26,905.666666666667,0.857142857142857
"202","acclimate","akl@met",9,4.57,903.2,0.833333333333333
"203","acclimatized","@kl!m@t!zd",12,2.83,1116.5,0.333333333333333
"204","accolade","ak@led",8,6.56,867.52380952381,0.7
"205","accolades","ak@ledz",9,5.42,911.76,0.862068965517241
